,total_rev,total_profit,count,title_names,total_budget,number_topic,return
lda_topic_391,65200000.0,-78400000.0,2,All the Pretty Horses**Dracula 2000**,111000000.0,32,-0.706306306306
lda_topic_404,2096500000.0,338050000.0,5,X2**X-Men: The Last Stand**The Adjustment Bureau**X-Men: First Class**X-Men: Days of Future Past**,710200000.0,35,0.475992678119
lda_topic_297,367300000.0,108650000.0,1,Shark Tale**,75000000.0,17,1.44866666667
lda_topic_290,93300000.0,25650000.0,2,Next Friday**Friday After Next**,21000000.0,16,1.22142857143
lda_topic_137,441100000.0,3550000.0,2,The Patriot**The Alamo**,217000000.0,4,0.0163594470046
lda_topic_153,209100000.0,-35450000.0,1,Lemony Snicket's A Series of Unfortunate Events**,140000000.0,5,-0.253214285714
lda_topic_429,2545200000.0,519600000.0,10,"Erin Brockovich**Highlander: Endgame**Legally Blonde**Abandon**The Ring**Legally Blonde 2: Red, White & Blonde**Batman Begins**The Ring Two**Iron Man**Iron Man 2**",753000000.0,40,0.690039840637
lda_topic_408,82343495.0,9171747.5,1,Men of Honor**,32000000.0,37,0.286617109375
lda_topic_49,574609206.0,143704603.0,4,Scary Movie 2**Darkness**Scary Movie 3**Scary Movie 4**,143600000.0,47,1.00072843315
lda_topic_497,97541343006.0,10329043034.0,1189,"102 Dalmatians**28 Days**The 6th Day**Almost Famous**The Art of War**Autumn in New York**Bait**Bamboozled**Battlefield Earth**Bless the Child**nan**Center Stage**Chocolat**Chuck & Buck**The Crew**The Family Man**Fantasia 2000**Fantasia**The Gift**Gladiator**The Golden Bowl**Held Up**Dr. Seuss' How the Grinch Stole Christmas**How To Kill Your Neighbor's Dog**I Dreamed of Africa**Isn't She Great**Ivans Xtc**Keeping the Faith**The Ladies Man**Loser**Lost Souls**Love & Basketball**Lucky Numbers**Mercy Streets**The Million Dollar Hotel**The Next Best Thing**The Nutty Professor**Pay It Forward**Price of Glory**Proof of Life**Quills**Ready to Rumble**Requiem for a Dream**Return to Me**Road Trip**Snatch**The Specials**Thirteen Days**Turn It Up**Waking the Dead**The Watcher**Whatever It Takes**Where The Heart Is**Where the Money Is**Whipped**Wonder Boys**X-Men**You Can Count On Me**Along Came a Spider**The Amati Girls**American Pie 2**American Pie**Angel Eyes**Baby Boy**A Beautiful Mind**Behind Enemy Lines**The Believer**The Cat's Meow**The Caveman's Valentine**Crocodile Dundee in Los Angeles**Crocodile Dundee II**The Curse of the Jade Scorpion**The Deep End**Double Take**Heaven Can Wait**Dr. Dolittle**Enemy at the Gates**The Forsaken**Get Over It**Ghost World**Ghosts of Mars**Gosford Park**Hannibal**Harvard Man**Head over Heels**Heartbreakers**Hearts in Atlantis**Hedwig and the Angry Inch**How High**Jay and Silent Bob Strike Back**Clerks**Josie and the Pussycats**Kingdom Come**Kissing Jessica Stein**The Last Castle**The Majestic**The Man Who Wasn't There**Monkeybone**Monsoon Wedding**Moulin Rouge!**Mulholland Drive**My Big Fat Greek Wedding**My First Mister**Not Another Teen Movie**On the Line**The One**One Night at McCool's**Osmosis Jones**The Others**The Princess Diaries**Recess: School's Out**Riding in Cars with Boys**Rock Star**The Royal Tenenbaums**Say It Isn't So**See Spot Run**Serendipity**Shallow Hal**Someone like You**Soul Survivors**Spy Game**Sugar & Spice**Summer Catch**Super Troopers**Thirteen Ghosts**Tomcats**Two Can Play That Game**Vanilla Sky**The Wash**The Wedding Planner**8 Mile**About a Boy**About Schmidt**The Adventures of Pluto Nash**Analyze That**Antwone Fisher**Auto Focus**Avenging Angelo**Ballistic: Ecks vs. Sever**Barbershop**Better Luck Tomorrow**Big Fat Liar**Birthday Girl**Blood Work**Bowling for Columbine**Chelsea Walls**Chicago**City by the Sea**Civil Brand**The Count of Monte Cristo**The Country Bears**Crossroads**Deuces Wild**Divine Secrets of the Ya-Ya Sisterhood**Drumline**Eight Crazy Nights**Eight Legged Freaks**Empire**Enough**FeardotCom**The Four Feathers**Full Frontal**The Good Girl**Half Past Dead**Halloween: Resurrection**Hart's War**The Hot Chick**The Hours**I Spy**Impostor**Jackass: The Movie**Life or Something Like It**The Lord of the Rings: The Two Towers**Maid in Manhattan**The Master of Disguise**Men in Black**Moonlight Mile**Mr Deeds**National Lampoon's Van Wilder**Orange County**Possession**The Quiet American**Reign of Fire**Return to Never Land**Rollerball**The Rules of Attraction**Simone**The Scorpion King**The Singles Ward**Snow Dogs**Sorority Boys**Stolen Summer**The Sum of All Fears**The Sweetest Thing**Sweet Home Alabama**Swept Away**Swimfan**Tadpole**The Truth About Charlie**The Tuxedo**Undisputed**Unfaithful**A Walk to Remember**21 Grams**American Splendor**American Wedding**Anger Management**Anything Else**Bad Boys**Big Fish**Bringing Down the House**Bruce Almighty**Casa de los Babys**Dr. Seuss' The Cat in the Hat**The Company**Confidence**Daddy Day Care**Darkness Falls**Dickie Roberts: Former Child Star**Down with Love**Dumb and Dumberer: When Harry Met Lloyd**Duplex**Dysfunktional Family**Elephant**Fighting Temptations**Flywheel**Freaky Friday**From Justin to Kelly**The Haunted Mansion**Honey**House of the Dead**How to Deal**How to Lose a Guy in 10 Days**The Hunted**I Am David**Indigo**Intolerable Cruelty**Jeepers Creepers 2**Just Married**Kill Bill**The League of Extraordinary Gentlemen**The Lizzie McGuire Movie**Malibu's Most Wanted**A Man Apart**Marci X**May**The Medallion**The Missing**Mona Lisa Smile**Monster**Old School**Once Upon a Time in Mexico**Open Range**Open Water**The Real Cancun**Runaway Jury**The Rundown**School of Rock**Shattered Glass**The Singing Detective**Something's Gotta Give**The Station Agent**Stuck on You**Thirteen**Tupac Resurrection**Uptown Girls**Veronica Guerin**What a Girl Wants**13 Going on 30**50 First Dates**Agent Cody Banks 2: Destination London**Alfie**Predator 2**Before Sunrise**Being Julia**Beyond the Sea**The Big Bounce**Birth**Bridget Jones: The Edge of Reason**Bridget Jones's Diary**The Butterfly Effect**Catch That Kid!**Chasing Liberty**Christmas with the Kranks**A Cinderella Story**Closer**Club Dread**Confessions of a Teenage Drama Queen**Dirty Dancing: Havana Nights**Dirty Dancing**A Dirty Shame**The Door in the Floor**Envy**EuroTrip**Fahrenheit 9/11**Fat Albert**Finding Neverland**The Forgotten**Garden State**The Girl Next Door**Hotel Rwanda**I, Robot**Jersey Girl**Kinsey**Man on Fire**Mean Creek**Mean Girls**The Merchant of Venice**Million Dollar Baby**Napoleon Dynamite**New York Minute**The Phantom of the Opera**The Prince and Me**The Princess Diaries 2: Royal Engagement**Raise Your Voice**Raising Helen**Ray**Saved!**Seed of Chucky**Sideways**Spanglish**The Stepford Wives**Straight-Jacket**Super Size Me**Superbabies: Baby Geniuses 2**Surviving Christmas**Taking Lives**The Terminal**Vanity Fair**A Very Long Engagement**We Don't Live Here Anymore**White Chicks**Wicker Park**The Apartment**Win a Date with Tad Hamilton!**Without a Paddle**Woman Thou Art Loosed**The Woodsman**The Work and the Glory**You Got Served**The 40-Year-Old Virgin**̠on Flux**Alone in the Dark**Are We There Yet?**Assault on Precinct 13**The Ballad of Jack and Rose**Be Cool**Get Shorty**Beauty Shop**Bewitched**Boogeyman**Brokeback Mountain**The Brothers Grimm**Capote**Charlie and the Chocolate Factory**Cheaper by the Dozen 2**Corpse Bride**Diary of a Mad Black Woman**Doom**The Dukes of Hazzard**Elektra**Elizabethtown**Enron: The Smartest Guys in the Room**Everything Is Illuminated**Fever Pitch**The Sons of Katie Elder**Fun with Dick and Jane**The Game of Their Lives**Goal! The Dream Begins**The Gospel**Good Night, and Good Luck.**The Great Raid**Guess Who's Coming to Dinner**The Honeymooners**Hoodwinked!**Hostel**House of Wax**In Her Shoes**Inside Deep Throat**Deep Throat**The Interpreter**The Deep**The Island**King's Ransom**Lassie Come Home**Lonesome Jim**Lords of Dogtown**Marilyn Hotchkiss' Ballroom Dancing and Charm School**Match Point**Memoirs of a Geisha**Miss Congeniality 2: Armed and Fabulous**Monster-in-Law**Mrs. Palfrey at the Claremont**Must Love Dogs**Nanny McPhee**Nine Lives**North Country**The Perfect Man**Pretty Persuasion**The Producers**Proof**Rent**Roll Bounce**Sahara**The Sisterhood of the Traveling Pants**The Skeleton Key**Son of the Mask**The Squid and the Whale**Stay**Supercross**Thumbsucker**Transamerica**Transporter 2**Underclassman**An Unfinished Life**Waiting...**Walk the Line**Where the Truth Lies**The World's Fastest Indian**xXx: State of the Union**Yours, Mine & Ours**Accepted**Akeelah and the Bee**American Dreamz**Annapolis**The Ant Bully**Aquamarine**The Architect**The Astronaut Farmer**ATL**Barnyard**Blood Diamond**Borat**The Break-Up**The Bridge**Die Another Day**Charlotte's Web**Children of Men**Clerks II**Click**The Covenant**Crossover**Curious George**The Da Vinci Code**Date Movie**Deck the Halls**The Devil Wears Prada**Diggers**Dreamgirls**Employee of the Month**Eight Below**Antarctica**Eragon**Final Destination 3**Flicka**Flyboys**For Your Consideration**Freedomland**The Good German**A Good Year**Grandma's Boy**Half Nelson**Harsh Times**The Holiday**Hollywoodland**The Best Years of Our Lives**Hoot**Idlewild**An Inconvenient Truth**Invincible**Jackass Number Two**John Tucker Must Die**Just My Luck**The Lake House**The Last Kiss**The Last Winter**Let's Go to Prison**Letters from Iwo Jima**Little Children**Little Miss Sunshine**The Long Weekend**Madea's Family Reunion**Man of the Year**Material Girls**Miss Potter**Mission: Impossible III**The Night Listener**Night of the Living Dead 3D**Peaceful Warrior**Penelope**A Prairie Home Companion**The Pursuit of Happyness**The Return**Rocky Balboa**Rocky V**RV**School for Scoundrels**The Second Chance**See No Evil**Sherrybaby**Shortbus**Silent Hill**Starter for 10**Step Up**Stranger than Fiction**Stormbreaker**Superman Returns**Take the Lead**Talladega Nights: The Ballad of Ricky Bobby**Thank You for Smoking**Two Weeks**Ultraviolet**Unaccompanied Minors**Bonnie and Clyde**Wordplay**World Trade Center**You, Me and Dupree**Zoom**Zyzzyx Road**30 Days of Night**Across the Universe**Alvin and the Chipmunks**August Rush**Awake**Bridge to Terabithia**The Brothers Solomon**The Bucket List**Charlie Wilson's War**Code Name: The Cleaner**Control**Eastern Promises**Evan Almighty**Evening**The Flock**Fred Claus**Freedom Writers**The Game Plan**Georgia Rule**Good Luck Chuck**Grindhouse**Hairspray**Halloween**The Hills Have Eyes 2**The Hoax**Hot Rod**I Could Never Be Your Woman**I Now Pronounce You Chuck & Larry**I'm Not There**In the Land of Women**In the Valley of Elah**Into the Wild**Juno**Kickin' It Old Skool**The Kite Runner**Knocked Up**Lars and the Real Girl**The Life Before Her Eyes**Love in the Time of Cholera**Lucky You**A Mighty Heart**Mr. Lonely**Mr. Magorium's Wonder Emporium**Music and Lyrics**The Nanny Diaries**Nobel Son**Norbit**P.S. I Love You**Paranoid Park**Pathfinder**Persepolis**Premonition**Ratatouille**Rocket Science**SiCKO**Stomp the Yard**Superbad**Surf's Up**Transformers**Underdog**Waitress**Walk Hard: The Dewey Cox Story**Whisper**Who's Your Caddy?**10,000 BC**21**27 Dresses**American Teen**Appaloosa**August**Be Kind Rewind**Bedtime Stories**Beer for My Horses**Beverly Hills Chihuahua**Bolt**The Boy in the Striped Pyjamas**Cadillac Records**Che**City of Ember**The Curious Case of Benjamin Button**Deception**Defiance**Delgo**Doubt**Drillbit Taylor**Expelled: No Intelligence Allowed**The Eye**Fireflies in the Garden**Fireproof**Fool's Gold**Forgetting Sarah Marshall**Frost/Nixon**Get Smart**Ghost Town**Hamlet 2**Hancock**Hannah Montana and Miley Cyrus: Best of Both Worlds Concert**Harold**The Haunting of Molly Hartley**High School Musical 3: Senior Year**The House Bunny**In Bruges**Indiana Jones and the Last Crusade**Inkheart**Kit Kittredge: An American Girl**Last Chance Harvey**The Love Guru**The Lucky Ones**Made of Honor**Mamma Mia!**Tyler Perry's Meet the Browns**Milk**Miracle at St. Anna**My Best Friend's Girl**Never Back Down**Nick & Norah's Infinite Playlist**One Missed Call**The Other Boleyn Girl**Over Her Dead Body**Passengers**The Pirates Who Don't Do Anything: A VeggieTales Movie**Quantum of Solace**Quarantine**Rachel Getting Married**Rambo**Rambo III**The Reader**Redbelt**Religulous**Repo! The Genetic Opera**Revolutionary Road**Righteous Kill**The Rocker**Role Models**The Secret Life of Bees**Seven Pounds**Sex and the City**Sex Drive**The Sisterhood of the Traveling Pants 2**Star Wars: The Clone Wars**Step Brothers**Step Up 2: The Streets**Traitor**Untraceable**Vicky Cristina Barcelona**Welcome Home Roscoe Jenkins**What Happens in Vegas**Witless Protection**The Women**The Wrestler**Yes Man**You Don't Mess with the Zohan**Zack and Miri Make a Porno**500 Days of Summer**17 Again**Adam**Adventureland**Away We Go**Bandslam**The Blind Side**Bride Wars**Capitalism: A Love Story**A Christmas Carol**Confessions of a Shopaholic**Couples Retreat**Crazy Heart**Everybody's Fine**Extract**Fame**Food, Inc.**Friday the 13th**The Goods: Live Hard, Sell Hard**The Grudge 3**Halloween II**Hannah Montana: The Movie**He's Just Not That Into You**Hotel for Dogs**I Can Do Bad All By Myself**Madea Goes to Jail**I Hate Valentine's Day**I Love You, Beth Cooper**I Love You, Man**Imagine That**The Informant!**The Informers**Inglourious Basterds**The Invention of Lying**Life During Wartime**Happiness**The Messenger**Michael Jackson's This Is It**Miss March**Motherhood**My Life in Ruins**My Sister's Keeper**New in Town**Next Day Air**Night at the Museum: Battle of the Smithsonian**Nine**Notorious**Observe and Report**Old Dogs**Precious**The Proposal**Push**The Road**A Serious Man**Shorts: The Adventures of the Wishing Rock**The Soloist**Spread**Star Trek**The Stepfather**Street Fighter**Surrogates**Taking Woodstock**The Time Traveler's Wife**The Unborn**Underworld: Rise of the Lycans**Up in the Air**Whatever Works**Where the Wild Things Are**Whiteout**World's Greatest Dad**The Young Victoria**127 Hours**Black Swan**Blue Valentine**Burlesque**Casino Jack**Cats & Dogs: The Revenge of Kitty Galore**The Company Men**Conviction**Country Strong**Cyrus**Death at a Funeral**Diary of a Wimpy Kid**Dinner for Schmucks**Easy A**Eat Pray Love**The Expendables**The Extra Man**Extraordinary Measures**Fair Game**Flipped**For Colored Girls**Freakonomics**From Paris with Love**Game of Death**Get Him to the Greek**Going the Distance**Greenberg**Grown Ups**Hachi: A Dog's Tale**Hereafter**Hot Tub Time Machine**How to Train Your Dragon**It's Kind of a Funny Story**The Joneses**The Karate Kid**The Last Song**Leap Year**Legendary**Life As We Know It**Little Fockers**The Losers**Lottery Ticket**Love & Other Drugs**MacGruber**Marmaduke**Middle Men**Morning Glory**Never Let Me Go**Preacher's Kid**Prince of Persia: The Sands of Time**Ramona and Beezus**Remember Me**Robin Hood**The Romantics**The Runaways**Salt**Secretariat**Sex and the City 2**She's Out of My League**The Social Network**Solitary Man**Stone**The Switch**The Tempest**Tooth Fairy**Twelve**Valentine's Day**Wall Street: Money Never Sleeps**Wall Street**Welcome to the Rileys**When in Rome**Why Did I Get Married Too?**You Again**Youth in Revolt**50/50**The Adventures of Tintin**Another Earth**The Art of Getting By**Bad Teacher**Big Mommas: Like Father, Like Son**The Big Year**Bridesmaids**Cars 2**The Change-Up**The Chaperone**Courageous**Crazy, Stupid, Love**The Descendants**Dolphin Tale**Dream House**The Eagle**Everything Must Go**Extremely Loud & Incredibly Close**Final Destination 5**Footloose**Friends with Benefits**The Future**Glee: The 3D Concert Movie**Gnomeo & Juliet**POM Wonderful Presents: The Greatest Movie Ever Sold**Hall Pass**The Help**Hesher**Higher Ground**Hoodwinked Too! Hood vs. Evil**Hop**Hugo**I Don't Know How She Does It**The Ides of March**In Time**Jack and Jill**Jumping the Broom**Just Go with It**Larry Crowne**Machine Gun Preacher**Madea's Big Happy Family**Margin Call**Martha Marcy May Marlene**Midnight in Paris**Monte Carlo**The Muppets**New Year's Eve**No Strings Attached**One Day**Our Idiot Brother**Prom**Puss in Boots**Rango**The Rite**The Roommate**The Rum Diary**Seven Days in Utopia**The Sitter**Something Borrowed**Source Code**Take Me Home Tonight**Take Shelter**The Tree of Life**A Very Harold & Kumar 3D Christmas**Waiting for Forever**Water for Elephants**We Bought a Zoo**What's Your Number?**Young Adult**Your Highness**Zookeeper**21 Jump Street**Act of Valor**Alex Cross**American Reunion**The Apparition**Argo**Bachelorette**Battleship**Beasts of the Southern Wild**Bernie**Best Man Down**The Bourne Legacy**Casa de Mi Padre**Celeste and Jesse Forever**Chernobyl Diaries**A Christmas Story**Chronicle**Crazy Eyes**Crooked Arrows**Damsels in Distress**Dark Shadows**Dark Tide**Darling Companion**Diary of a Wimpy Kid: Dog Days**Django Unchained**The Expendables 2**The First Time**The Five-Year Engagement**Flight**For a Good Time, Call...**Friends with Kids**Fun Size**Girl in Progress**Good Deeds**The Guilt Trip**Here Comes the Boom**High School**Hope Springs**Hotel Transylvania**Jeff, Who Lives at Home**Joyful Noise**A Little Bit of Heaven**Lockout**The Lorax**The Lucky One**Madea's Witness Protection**Magic Mike**The Magic of Belle Isle**The Master**Men in Black 3**The Odd Life of Timothy Green**One for the Money**ParaNorman**People Like Us**The Perks of Being a Wallflower**Pitch Perfect**Project X**Red Tails**Rock of Ages**Samsara**Baraka**Seeking a Friend for the End of the World**Silver Linings Playbook**Smashed**Sparkle**Step Up Revolution**The Tall Man**Ted**That's My Boy**Think Like a Man**This Is 40**This Means War**A Thousand Words**The Three Stooges**Total Recall**Trouble with the Curve**Underworld: Awakening**The Vow**Wanderlust**What to Expect When You're Expecting**Won't Back Down**The Words**12 Years a Slave**20 Feet from Stardom**21 & Over**All Is Lost**Alone yet Not Alone**Anchorman 2: The Legend Continues**August: Osage County**Battle of the Year**Beautiful Creatures**Behind the Candelabra**The Best Man Holiday**The Best Man**The Big Wedding**Blue Jasmine**Blue Ruin**The Book Thief**The Butler**Begin Again**The Canyons**Carrie**The Conjuring**Dallas Buyers Club**Don Jon**Empire State**The Face of Love**The Fifth Estate**Foodfight!**Gangster Squad**The Great Gatsby**Grown Ups 2**Grudge Match**Hansel & Gretel: Witch Hunters**The Haunting in Connecticut 2: Ghosts of Georgia**Hell Baby**Her**Home Run**Homefront**I Used to Be Darker**In a World...**The Incredible Burt Wonderstone**The Inevitable Defeat of Mister and Pete**Inside Llewyn Davis**The Internship**Jack the Giant Slayer**Jackass Presents: Bad Grandpa**Jobs**Justin Bieber's Believe**Kevin Hart: Let Me Explain**The Last Exorcism Part II**Last Vegas**Life of Crime**The Lone Ranger**The Lords of Salem**Lovelace**Machete Kills**A Madea Christmas**Movie 43**Nebraska**One Direction: This Is Us**Paranoia**Parkland**Philomena**Prince Avalanche**A Resurrection**R.I.P.D.**Robosapien: Rebooted**Saving Mr. Banks**Scary Movie 5**The Secret Life of Walter Mitty**Short Term 12**The Spectacular Now**The Starving Games**Stoker**Straight A's**Struck by Lightning**Texas Chainsaw**Peeples**Violet & Daisy**The Way, Way Back**Welcome to the Jungle**White House Down**The Wolverine**Labor Day**That Awkward Moment**The Monuments Men**About Last Night**Endless Love**The Single Moms Club**Cheap Thrills**God's Not Dead**Muppets Most Wanted**In the Blood**Brick Mansions**Devil's Knot**Moms' Night Out**Neighbors**Million Dollar Arm**Blended**The Fault in Our Stars**Ping Pong Summer**Jersey Boys**Think Like a Man Too**Tammy**Boyhood**Road to Paloma**Sex Tape**Happy Christmas**Magic in the Moonlight**Get on Up**The Hundred-Foot Journey**Step Up: All In**The Expendables 3**Life After Beth**If I Stay**Atlas Shrugged Part III: Who Is John Galt?**Honeymoon**No Good Deed**The Skeleton Twins**This Is Where I Leave You**Addicted**Alexander and the Terrible, Horrible, No Good, Very Bad Day**Whiplash**Fury**Beyond the Lights**Foxcatcher**The Homesman**Wild**Top Five**Annie**Big Eyes**The Woman in Black: Angel of Death**The Wedding Ringer**Cake**Black or White**Project Almanac**The Voices**Accidental Love**Fifty Shades of Grey**The Duff**McFarland, USA**The Lazarus Effect**Unfinished Business**The Gunman**Tracers**While We're Young**Furious 7**Woman in Gold**Ex Machina**The Longest Ride**Brotherly Love**Little Boy**The Age of Adaline**The D Train**Mad Max: Fury Road**Aloha**Entourage**Me and Earl and the Dying Girl**Dope**Ted 2**Terminator Genisys**Ant-Man**Trainwreck**The Vatican Tapes**Black Mass**The Peanuts Movie**Daddy's Home**Joy**The Revenant**13 Hours: The Secret Soldiers of Benghazi**Dirty Grandpa**The Finest Hours**Fifty Shades of Black**Hail, Caesar!**How to Be Single**Risen**Whiskey Tango Foxtrot**The Young Messiah**The Perfect Match**Hello, My Name Is Doris**Midnight Special**Batman v Superman: Dawn of Justice**My Big Fat Greek Wedding 2**I Saw the Light**Everybody Wants Some!!**Dazed and Confused**God's Not Dead 2**Meet the Blacks**The Boss**Demolition**Barbershop: The Next Cut**A Hologram for the King**Captain America: Civil War**The Darkness**Neighbors 2: Sorority Rising**Me Before You**Popstar: Never Stop Never Stopping**The Shallows**Free State of Jones**The Neon Demon**Mike and Dave Need Wedding Dates**The Infiltrator**Bad Moms**Suicide Squad**Sausage Party**Florence Foster Jenkins**Morgan**When the Bough Breaks**The Disappointments Room**Bridget Jones's Baby**Blair Witch**Hillsong: Let Hope Rise**Deepwater Horizon**The Birth of a Nation**Middle School: The Worst Years of My Life**Max Steel**Ouija: Origin of Evil**Boo! A Madea Halloween**I'm Not Ashamed**The Founder**A Monster Calls**Rings**La La Land**",38569728469.0,50,0.267801808413
lda_topic_39,3900800000.0,1185400000.0,7,Dungeons & Dragons**Shrek**Shrek 2**Shrek the Third**Shrek Forever After**The Smurfs**The Smurfs 2**,765000000.0,31,1.54954248366
lda_topic_38,473959438.0,100479719.0,4,Big Momma's House**Big Momma's House 2**Little Man**A Haunted House**,136500000.0,30,0.736115157509
